context,direction,block,basepoint,rho,d_hidden,jsd,flip
2,6,0,natural,1.7999999999999998,0.7865874767303467,0.03192633017897606,0.0
2,6,0,natural,2.4,1.0555639266967773,0.3155826926231384,0.0
2,6,0,natural,3.0,1.2467570304870605,0.6171121597290039,1.0
2,6,0,natural,3.5999999999999996,1.3624650239944458,0.6715227365493774,1.0
2,6,0,natural,4.2,1.4297349452972412,0.6815934181213379,1.0
2,6,0,natural,4.8,1.4709503650665283,0.6846722364425659,1.0
2,6,0,natural,5.3999999999999995,1.4981894493103027,0.6860637664794922,1.0
2,6,0,natural,6.0,1.5174806118011475,0.6868777275085449,1.0
2,7,0,natural,0.0,0.0,0.0,0.0
2,7,0,natural,0.6,0.17568139731884003,6.939932063687593e-05,0.0
2,7,0,natural,1.2,0.4246664047241211,0.0022495212033391,0.0
2,7,0,natural,1.7999999999999998,0.7550467252731323,0.12013835459947586,0.0
2,7,0,natural,2.4,1.0634015798568726,0.5944012999534607,1.0
2,7,0,natural,3.0,1.2816795110702515,0.6692643761634827,1.0
2,7,0,natural,3.5999999999999996,1.3998416662216187,0.6779066324234009,1.0
2,7,0,natural,4.2,1.456221342086792,0.6802560091018677,1.0
2,7,0,natural,4.8,1.4854226112365723,0.6806845664978027,1.0
2,7,0,natural,5.3999999999999995,1.5025686025619507,0.680469274520874,1.0
2,7,0,natural,6.0,1.5137546062469482,0.680151104927063,1.0
3,0,0,natural,0.0,0.0,0.0,0.0
3,0,0,natural,0.6,0.18300925195217133,8.816791523713619e-05,0.0
3,0,0,natural,1.2,0.4008026123046875,0.00021452490182127804,0.0
3,0,0,natural,1.7999999999999998,0.6161302328109741,0.000391166569897905,0.0
3,0,0,natural,2.4,0.8576328754425049,0.006919890642166138,0.0
3,0,0,natural,3.0,1.112106442451477,0.12979762256145477,0.0
3,0,0,natural,3.5999999999999996,1.2924450635910034,0.4485369324684143,1.0
3,0,0,natural,4.2,1.3843241930007935,0.5700207948684692,1.0
3,0,0,natural,4.8,1.4288157224655151,0.6018610596656799,1.0
3,0,0,natural,5.3999999999999995,1.452168583869934,0.6107008457183838,1.0
3,0,0,natural,6.0,1.465742826461792,0.6122663021087646,1.0
3,1,0,natural,0.0,0.0,0.0,0.0
3,1,0,natural,0.6,0.18305274844169617,9.649833373259753e-06,0.0
3,1,0,natural,1.2,0.3897939920425415,0.00015991090913303196,0.0
3,1,0,natural,1.7999999999999998,0.5934951901435852,0.0019418306183069944,0.0
3,1,0,natural,2.4,0.7869091033935547,0.02412348799407482,0.0
3,1,0,natural,3.0,0.9576968550682068,0.1733369678258896,0.0
3,1,0,natural,3.5999999999999996,1.095852017402649,0.3988978862762451,1.0
3,1,0,natural,4.2,1.2020175457000732,0.5157178044319153,1.0
3,1,0,natural,4.8,1.2806856632232666,0.5637013912200928,1.0
3,1,0,natural,5.3999999999999995,1.3350273370742798,0.5825924873352051,1.0
3,1,0,natural,6.0,1.3710042238235474,0.5896742343902588,1.0
3,2,0,natural,0.0,0.0,0.0,0.0
3,2,0,natural,0.6,0.1905275583267212,1.6282232536468655e-05,0.0
3,2,0,natural,1.2,0.594659149646759,0.0003261919191572815,0.0
3,2,0,natural,1.7999999999999998,1.1006574630737305,0.42715466022491455,1.0
3,2,0,natural,2.4,1.2794119119644165,0.6312178373336792,1.0
3,2,0,natural,3.0,1.336899995803833,0.6314232349395752,1.0
