token_id,token,D,W_mid,W_final,t10_mid,t90_mid,t10_final,t90_final,flag_nonmonotonic
1820,'my',2.4512,0.1241,0.0701,0.3674,0.4914,0.4223,0.4925,1
1821,'40',2.1686,0.2013,0.0769,0.3450,0.5463,0.4316,0.5085,0
1822,' arg',2.4280,0.1689,0.0686,0.3715,0.5405,0.4186,0.4872,0
1823,'artment',2.7668,0.1961,0.1142,0.2971,0.4932,0.3645,0.4786,0
1824,'ustom',2.8612,0.2071,0.1862,0.3218,0.5289,0.3460,0.5321,0
1825,' polic',2.5757,0.1857,0.0664,0.3749,0.5605,0.4107,0.4771,0
1826,' meet',2.1422,0.1486,0.0816,0.3679,0.5165,0.4275,0.5091,0
1827,' creat',2.5136,0.2144,0.0735,0.3521,0.5665,0.4051,0.4786,0
1828,'22',2.1748,0.1809,0.0993,0.3192,0.5001,0.3932,0.4925,0
1829,' States',2.2628,0.1330,0.0548,0.3492,0.4822,0.4022,0.4570,0
1830,' games',1.9584,0.1260,0.0608,0.3573,0.4833,0.4188,0.4796,0
1831,'raw',2.7647,0.1384,0.0745,0.3861,0.5246,0.4147,0.4892,1
1832,'uture',2.8426,0.2203,0.1337,0.3170,0.5373,0.3683,0.5020,0
1833,' understand',2.0833,0.1897,0.1060,0.3798,0.5695,0.4386,0.5446,0
1834,'urs',2.6391,0.1434,0.0964,0.3360,0.4794,0.3797,0.4761,0
1835,' Ob',2.3884,0.1815,0.0488,0.3776,0.5591,0.4457,0.4945,0
1836,'lish',2.8778,0.1842,0.1062,0.3091,0.4934,0.3648,0.4710,0
1837,'sy',2.6153,0.1421,0.0981,0.3894,0.5316,0.4319,0.5300,0
1838,' makes',1.8192,0.1344,0.0541,0.4020,0.5364,0.4653,0.5194,0
1839,' won',1.9466,0.1136,0.0626,0.4386,0.5522,0.4833,0.5459,0
1840,'agon',2.7445,0.2224,0.1641,0.3404,0.5627,0.3655,0.5295,0
1841,' htt',2.7920,0.2919,0.1640,0.3504,0.6423,0.3395,0.5035,0
1842,' love',2.0089,0.1782,0.1061,0.3770,0.5552,0.4507,0.5568,0
1843,'ential',2.7194,0.1901,0.1876,0.3385,0.5286,0.4053,0.5928,0
1844,' complete',2.1287,0.2523,0.1759,0.3413,0.5936,0.3579,0.5338,0
1845,'par',2.5129,0.1369,0.0558,0.3919,0.5288,0.4336,0.4894,0
1846,' Im',2.3162,0.1263,0.0440,0.4235,0.5498,0.4820,0.5259,0
1847,'AL',2.3116,0.1450,0.0562,0.3663,0.5113,0.4171,0.4733,0
1848,' account',2.2830,0.2063,0.1621,0.3383,0.5446,0.3847,0.5469,0
1849,'\xa0',2.3585,0.1303,0.0539,0.4178,0.5481,0.4608,0.5148,0
1850,'ored',2.5685,0.1797,0.0982,0.3115,0.4912,0.3809,0.4791,0
1851,'vert',2.6143,0.1443,0.0839,0.3875,0.5318,0.4436,0.5275,0
1852,' ident',2.5193,0.2177,0.0908,0.3612,0.5789,0.3980,0.4889,0
1853,' 2015',2.0270,0.1332,0.0729,0.3870,0.5202,0.4467,0.5196,0
1854,' others',2.0228,0.1433,0.0808,0.4090,0.5523,0.4609,0.5417,0
1855,' Min',2.2826,0.1609,0.0944,0.3576,0.5185,0.4179,0.5123,0
1856,'iber',2.7493,0.1413,0.0771,0.3687,0.5100,0.4228,0.4999,0
1857,'verage',2.8311,0.2705,0.2461,0.3033,0.5738,0.3049,0.5510,0
1858,'There',1.9900,0.1662,0.1338,0.3811,0.5472,0.4306,0.5644,0
