condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
cooc,173,0.06861,76.882,36,0.10745,-0.03884
cooc,174,0.04784,67.56,123,0.11687,-0.06904
cooc,175,0.12393,68.958,41,0.11538,0.00856
cooc,176,0.0826,61.63,32,0.12357,-0.04097
cooc,177,0.06139,79.6,39,0.10491,-0.04352
cooc,178,0.03736,53.712,32,0.1326,-0.09525
cooc,179,0.05055,42.902,25,0.14697,-0.09642
cooc,180,0.07019,59.339,9,0.12623,-0.05604
cooc,181,0.05768,52.841,12,0.13365,-0.07596
cooc,182,0.0753,63.507,41,0.12138,-0.04608
cooc,183,0.0445,81.12,81,0.10354,-0.05904
cooc,184,0.06853,42.487,20,0.14759,-0.07906
cooc,185,0.05558,76.007,39,0.10828,-0.0527
cooc,186,0.08038,83.131,33,0.10175,-0.02137
cooc,187,0.06907,88.779,84,0.09696,-0.02789
cooc,188,0.08471,68.234,43,0.11615,-0.03144
cooc,189,0.10453,61.457,32,0.12377,-0.01924
cooc,190,0.05469,49.314,18,0.13806,-0.08337
cooc,191,0.07163,64.288,20,0.12049,-0.04886
cooc,192,0.99087,197.977,691,0.07499,0.91589
cooc,193,0.08388,83.746,78,0.10121,-0.01733
cooc,194,0.10494,74.946,28,0.10931,-0.00436
cooc,195,0.05945,74.221,11,0.11002,-0.05056
cooc,196,0.07272,90.595,92,0.09548,-0.02276
cooc,197,0.0982,65.624,12,0.11899,-0.02079
cooc,198,0.05688,90.206,94,0.09579,-0.03891
cooc,199,0.12528,68.76,67,0.11559,0.00969
cycle_consistent,100,0.04623,65.881,16,0.11871,-0.07248
cycle_consistent,101,0.06455,67.751,22,0.11667,-0.05212
cycle_consistent,102,0.08198,54.797,11,0.13132,-0.04934
cycle_consistent,103,0.12404,77.51,51,0.10685,0.01718
cycle_consistent,104,0.06309,71.698,38,0.11254,-0.04944
cycle_consistent,105,0.03372,66.703,7,0.1178,-0.08408
cycle_consistent,106,0.0561,54.304,27,0.1319,-0.0758
cycle_consistent,107,0.06244,69.304,45,0.11501,-0.05257
cycle_consistent,108,0.0918,58.603,9,0.12703,-0.03523
cycle_consistent,109,0.0853,70.779,26,0.11348,-0.02818
cycle_consistent,110,0.11996,63.906,23,0.12093,-0.00096
cycle_consistent,111,0.08684,53.313,21,0.13308,-0.04624
cycle_consistent,112,0.06996,53.063,11,0.13338,-0.06342
cycle_consistent,113,0.06666,59.763,14,0.12578,-0.05911
cycle_consistent,114,0.09299,54.734,11,0.1314,-0.03841
cycle_consistent,115,0.06934,57.839,17,0.12787,-0.05853
cycle_consistent,116,0.0969,60.266,13,0.1252,-0.0283
cycle_consistent,117,0.07417,60.36,16,0.12509,-0.05092
cycle_consistent,118,0.11725,55.99,25,0.12995,-0.0127
cycle_consistent,119,0.06573,73.927,11,0.1103,-0.04458
cycle_consistent,120,0.03993,69.153,42,0.11517,-0.07524
cycle_consistent,121,0.07078,64.653,12,0.12008,-0.0493
cycle_consistent,122,0.06848,58.476,17,0.12717,-0.05869
cycle_consistent,123,0.08352,58.864,12,0.12675,-0.04322
cycle_consistent,124,0.07739,65.585,28,0.11903,-0.04165
cycle_consistent,125,0.06189,62.977,8,0.12199,-0.0601
cycle_consistent,126,0.11169,60.136,33,0.12536,-0.01367
cycle_consistent,127,0.09491,72.037,22,0.11219,-0.01728
cycle_consistent,128,0.14416,87.974,35,0.09762,0.04654
cycle_consistent,129,0.12394,71.844,44,0.11239,0.01155
cycle_consistent,130,0.05302,65.65,8,0.11896,-0.06594
cycle_consistent,131,0.06883,63.177,33,0.12176,-0.05293
cycle_consistent,132,0.06923,64.607,11,0.12013,-0.0509
cycle_consistent,133,0.0823,62.79,14,0.12221,-0.03991
cycle_consistent,134,0.13572,69.959,35,0.11433,0.02139
cycle_consistent,135,0.06215,60.845,25,0.1245,-0.06235
cycle_consistent,136,0.0747,56.474,6,0.1294,-0.05469
cycle_consistent,137,0.06407,66.257,14,0.11829,-0.05423
cycle_consistent,138,0.13319,69.094,29,0.11523,0.01796
cycle_consistent,139,0.11816,72.035,25,0.1122,0.00597
cycle_consistent,140,0.07864,55.157,8,0.13091,-0.05226
cycle_consistent,141,0.10218,66.164,38,0.11839,-0.01621
cycle_consistent,142,0.08343,58.662,14,0.12697,-0.04354
cycle_consistent,143,0.10156,56.802,20,0.12903,-0.02747
cycle_consistent,144,0.08527,86.676,20,0.0987,-0.01343
cycle_consistent,145,0.04425,82.571,58,0.10224,-0.05799
cycle_consistent,146,0.05723,66.92,15,0.11757,-0.06034
cycle_consistent,147,0.06207,64.985,11,0.1197,-0.05764
cycle_consistent,148,0.1005,60.922,4,0.12441,-0.02391
cycle_consistent,149,0.128,66.736,6,0.11777,0.01023
cycle_consistent,150,0.09207,57.435,36,0.12832,-0.03625
cycle_consistent,151,0.16165,65.347,35,0.1193,0.04235
cycle_consistent,152,0.046,61.229,20,0.12405,-0.07805
cycle_consistent,153,0.06655,54.192,18,0.13203,-0.06548
cycle_consistent,154,0.07333,67.35,14,0.1171,-0.04377
cycle_consistent,155,0.08313,46.894,29,0.14128,-0.05815
cycle_consistent,156,0.07396,68.147,17,0.11624,-0.04228
cycle_consistent,157,0.11593,71.023,30,0.11323,0.0027
cycle_consistent,158,0.0732,40.497,12,0.15066,-0.07746
cycle_consistent,159,0.12799,72.475,44,0.11175,0.01624
cycle_consistent,160,0.06234,59.132,33,0.12646,-0.06412
cycle_consistent,161,0.07051,66.474,26,0.11805,-0.04755
cycle_consistent,162,0.16289,61.904,27,0.12325,0.03964
cycle_consistent,163,0.14572,76.871,36,0.10746,0.03826
cycle_consistent,164,0.06995,75.969,45,0.10832,-0.03837
cycle_consistent,165,0.08743,55.301,10,0.13074,-0.04331
cycle_consistent,166,0.08013,62.505,16,0.12254,-0.04241
cycle_consistent,167,0.25293,71.103,6,0.11314,0.13978
cycle_consistent,168,0.07199,62.674,18,0.12235,-0.05035
cycle_consistent,169,0.07689,67.161,38,0.1173,-0.04041
cycle_consistent,170,0.0792,54.737,14,0.13139,-0.0522
cycle_consistent,171,0.069,73.499,21,0.11073,-0.04173
cycle_consistent,172,0.05348,48.39,43,0.13927,-0.08579
cycle_consistent,173,0.06344,77.697,25,0.10668,-0.04323
cycle_consistent,174,0.06383,52.15,8,0.13449,-0.07066
cycle_consistent,175,0.11228,73.428,13,0.1108,0.00148
cycle_consistent,176,0.05949,67.49,12,0.11695,-0.05746
cycle_consistent,177,0.10993,85.66,26,0.09956,0.01036
cycle_consistent,178,0.03971,49.719,47,0.13754,-0.09783
cycle_consistent,179,0.36574,52.437,27,0.13414,0.2316
cycle_consistent,180,0.04209,60.218,26,0.12526,-0.08317
cycle_consistent,181,0.13572,69.263,25,0.11506,0.02067
cycle_consistent,182,0.08584,74.613,27,0.10963,-0.02379
cycle_consistent,183,0.06313,57.898,8,0.1278,-0.06467
cycle_consistent,184,0.06368,60.893,34,0.12445,-0.06076
cycle_consistent,185,0.08084,69.776,17,0.11452,-0.03368
cycle_consistent,186,0.12379,65.452,6,0.11918,0.0046
cycle_consistent,187,0.79129,64.846,17,0.11986,0.67143
cycle_consistent,188,0.03588,72.221,27,0.11201,-0.07613
cycle_consistent,189,0.13548,72.341,15,0.11189,0.02359
cycle_consistent,190,0.0586,51.127,27,0.13576,-0.07716
cycle_consistent,191,0.04084,62.937,12,0.12204,-0.0812
cycle_consistent,192,0.05995,61.638,34,0.12356,-0.06361
cycle_consistent,193,0.12384,70.785,12,0.11347,0.01037
cycle_consistent,194,0.06324,79.089,60,0.10538,-0.04214
cycle_consistent,195,0.07617,86.629,33,0.09874,-0.02258
cycle_consistent,196,0.07439,65.648,44,0.11896,-0.04458
cycle_consistent,197,0.11822,67.363,21,0.11708,0.00113
cycle_consistent,198,0.13786,61.783,9,0.12339,0.01448
cycle_consistent,199,0.08253,59.464,23,0.1261,-0.04357
cooc_full,100,0.11533,75.483,59,0.10879,0.00654
cooc_full,101,0.09135,60.689,23,0.12469,-0.03334
cooc_full,102,0.156,60.001,11,0.12552,0.03048
cooc_full,103,0.14344,86.87,24,0.09854,0.0449
cooc_full,104,0.09229,70.418,32,0.11385,-0.02156
cooc_full,105,0.20517,79.886,38,0.10465,0.10052
cooc_full,106,0.40227,80.069,91,0.10449,0.29778
cooc_full,107,0.94143,71.004,38,0.11325,0.82819
cooc_full,108,0.13,64.745,13,0.11997,0.01003
cooc_full,109,0.16724,89.84,44,0.09609,0.07115
cooc_full,110,0.2051,55.902,27,0.13005,0.07505
cooc_full,111,0.122,76.408,35,0.1079,0.01411
cooc_full,112,0.32949,68.515,36,0.11585,0.21365
cooc_full,113,0.18606,64.026,30,0.12079,0.06528
cooc_full,114,0.10557,56.972,19,0.12884,-0.02327
cooc_full,115,0.99078,90.966,167,0.09518,0.8956
cooc_full,116,0.16569,69.451,17,0.11486,0.05083
cooc_full,117,0.16937,58.012,28,0.12768,0.04169
cooc_full,118,0.24563,96.439,134,0.09092,0.15471
cooc_full,119,0.13479,86.381,17,0.09895,0.03584
cooc_full,120,0.07689,62.299,5,0.12278,-0.0459
cooc_full,121,0.12819,63.521,16,0.12137,0.00682
cooc_full,122,0.15166,68.456,34,0.11591,0.03575
cooc_full,123,0.09214,64.502,14,0.12025,-0.02811
cooc_full,124,0.21096,55.74,28,0.13023,0.08073
cooc_full,125,0.12085,74.109,17,0.11013,0.01072
cooc_full,126,0.11902,61.803,67,0.12337,-0.00435
cooc_full,127,0.14469,73.624,10,0.1106,0.03408
cooc_full,128,0.23581,87.725,77,0.09783,0.13799
cooc_full,129,0.17396,63.958,27,0.12087,0.0531
cooc_full,130,0.19541,75.931,76,0.10835,0.08706
cooc_full,131,0.15635,64.419,33,0.12034,0.03601
