condition,src,split,plateau_auc_low,dist_to_source,norm,output_kl,log10_output_kl
sparse_match,25,train,0.11461,90.916,74.555,9.683424,0.986
sparse_match,26,train,0.06705,62.94,65.094,2.952518,0.4702
sparse_match,27,train,0.07848,61.019,65.158,3.622826,0.559
sparse_match,28,train,0.07511,42.066,55.287,0.742322,-0.1294
sparse_match,29,train,0.05767,82.503,68.897,5.625749,0.7502
sparse_match,30,train,0.08576,47.882,60.329,1.759461,0.2454
sparse_match,31,train,0.03938,78.362,58.809,11.031446,1.0426
sparse_match,32,train,0.06455,38.052,54.82,5.499833,0.7403
sparse_match,33,train,0.03555,68.291,75.29,4.396826,0.6431
sparse_match,34,train,0.05277,73.587,75.055,6.100645,0.7854
sparse_match,35,train,0.08196,36.724,55.188,3.158644,0.4995
sparse_match,36,train,0.13084,67.828,54.523,1.219219,0.0861
sparse_match,37,train,0.0924,64.809,67.453,2.428463,0.3853
sparse_match,38,train,0.05512,66.479,66.939,3.669344,0.5646
sparse_match,39,train,0.06474,63.287,63.503,2.609839,0.4166
sparse_match,40,train,0.09616,64.341,57.889,6.794325,0.8321
sparse_match,41,train,0.03416,78.315,72.313,5.043548,0.7027
sparse_match,42,train,0.07979,70.643,59.57,14.977592,1.1754
sparse_match,43,train,0.07219,53.579,61.438,6.668521,0.824
sparse_match,44,train,0.10065,63.012,67.933,1.078338,0.0328
sparse_match,45,train,0.02941,46.213,57.906,8.497809,0.9293
sparse_match,46,train,0.05397,56.926,70.855,3.993937,0.6014
sparse_match,47,train,0.05311,73.133,54.703,16.108049,1.207
sparse_match,48,train,0.0416,68.783,66.163,1.497313,0.1753
sparse_match,49,train,0.07914,78.986,73.263,6.258088,0.7964
sparse_match,50,train,0.0858,58.049,57.78,1.548757,0.19
