condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
naive,110,0.12575,69.336,92,0.11798,0.00778
naive,111,0.10228,53.007,25,0.13639,-0.03411
naive,112,0.05767,73.4,63,0.11388,-0.05621
naive,113,0.05515,58.617,36,0.12989,-0.07474
naive,114,0.04784,45.889,36,0.14569,-0.09785
naive,115,0.07409,63.834,39,0.12393,-0.04984
naive,116,0.1134,51.906,17,0.13774,-0.02434
naive,117,0.12115,75.071,71,0.11226,0.0089
naive,118,0.05179,46.658,41,0.14462,-0.09282
naive,119,0.12857,77.694,37,0.10978,0.01879
naive,120,0.07341,60.751,14,0.12749,-0.05409
naive,121,0.1746,73.474,44,0.1138,0.06079
naive,122,0.03791,75.909,45,0.11146,-0.07355
naive,123,0.06687,62.629,43,0.1253,-0.05843
naive,124,0.03606,64.693,92,0.12297,-0.0869
naive,125,0.06543,64.254,23,0.12346,-0.05803
naive,126,0.04203,48.001,44,0.14279,-0.10076
naive,127,0.0617,58.411,12,0.13012,-0.06842
naive,128,0.10111,76.384,21,0.11101,-0.0099
naive,129,0.06993,65.927,108,0.12161,-0.05168
naive,130,0.09464,62.943,16,0.12494,-0.03031
naive,131,0.07998,70.047,36,0.11724,-0.03726
naive,132,0.15942,169.6,691,0.07849,0.08093
naive,133,0.06254,71.824,18,0.11544,-0.0529
naive,134,0.06108,49.803,39,0.14041,-0.07933
naive,135,0.06613,55.474,7,0.13345,-0.06732
naive,136,0.066,56.76,43,0.13197,-0.06597
naive,137,0.08871,65.143,30,0.12247,-0.03376
naive,138,0.07909,82.724,85,0.10527,-0.02618
naive,139,0.17141,75.444,34,0.1119,0.05951
naive,140,0.06334,55.153,17,0.13382,-0.07049
naive,141,0.09081,49.466,37,0.14085,-0.05003
naive,142,0.09373,69.721,37,0.11758,-0.02385
naive,143,0.11106,56.193,36,0.13262,-0.02156
naive,144,0.05025,71.669,47,0.11559,-0.06534
naive,145,0.04876,77.113,19,0.11032,-0.06156
naive,146,0.04378,67.993,4,0.11938,-0.0756
naive,147,0.04017,81.684,134,0.10618,-0.06601
naive,148,0.1082,68.155,84,0.11921,-0.01101
naive,149,0.05041,54.495,35,0.1346,-0.08419
naive,150,0.0558,49.914,32,0.14027,-0.08446
naive,151,0.05873,83.125,167,0.10492,-0.04619
naive,152,0.05142,68.619,21,0.11872,-0.0673
naive,153,0.06988,48.768,30,0.14176,-0.07188
naive,154,0.05924,63.765,28,0.12401,-0.06477
naive,155,0.14173,42.046,36,0.15134,-0.00961
naive,156,0.13564,76.858,11,0.11056,0.02508
