seed,model,layer,pair,class_a,class_b,rep,idx_a,idx_b,lin_dev,max_jump
0,clf,d_out,46,2,9,0,119,12,0.234411,7.849851
0,clf,d_out,47,2,9,1,237,113,0.112207,6.380171
0,clf,d_out,48,3,4,0,51,24,0.198483,6.799016
0,clf,d_out,49,3,4,1,200,109,0.072076,4.432492
0,clf,d_out,50,3,5,0,63,45,0.191176,5.152738
0,clf,d_out,51,3,5,1,205,162,0.204853,6.268489
0,clf,d_out,52,3,6,0,68,50,0.137477,3.971118
0,clf,d_out,53,3,6,1,213,140,0.134819,7.370067
0,clf,d_out,54,3,7,0,76,34,0.138022,13.67799
0,clf,d_out,55,3,7,1,216,111,0.293386,6.46019
0,clf,d_out,56,3,8,0,87,128,0.19172,8.621418
0,clf,d_out,57,3,8,1,230,260,0.131696,4.878224
0,clf,d_out,58,3,9,0,90,16,0.241501,5.342227
0,clf,d_out,59,3,9,1,231,118,0.1112,4.687926
0,clf,d_out,60,4,5,0,33,52,0.268228,4.536134
0,clf,d_out,61,4,5,1,116,165,0.167109,7.377423
0,clf,d_out,62,4,6,0,42,54,0.202938,8.072024
0,clf,d_out,63,4,6,1,117,156,0.154504,4.347003
0,clf,d_out,64,4,7,0,48,36,0.120391,6.557597
0,clf,d_out,65,4,7,1,121,114,0.162538,3.439763
0,clf,d_out,66,4,8,0,49,134,0.157949,4.501489
0,clf,d_out,67,4,8,1,139,266,0.133128,4.744726
0,clf,d_out,68,4,9,0,56,20,0.24355,7.002078
0,clf,d_out,69,4,9,1,159,125,0.163895,3.575426
0,clf,d_out,70,5,6,0,59,66,0.201109,6.773705
0,clf,d_out,71,5,6,1,182,161,0.163196,4.367518
0,clf,d_out,72,5,7,0,102,41,0.183355,5.447525
0,clf,d_out,73,5,7,1,187,122,0.1008,5.668527
0,clf,d_out,74,5,8,0,120,146,0.15091,5.616415
0,clf,d_out,75,5,8,1,207,268,0.200167,6.285965
0,clf,d_out,76,5,9,0,127,58,0.12342,4.07052
0,clf,d_out,77,5,9,1,211,150,0.135696,4.326165
0,clf,d_out,78,6,7,0,88,60,0.163608,11.754777
0,clf,d_out,79,6,7,1,197,124,0.127613,6.672895
0,clf,d_out,80,6,8,0,91,177,0.127373,4.107699
0,clf,d_out,81,6,8,1,201,277,0.102556,6.899395
0,clf,d_out,82,6,9,0,98,62,0.115399,4.24245
0,clf,d_out,83,6,9,1,217,151,0.116176,6.251988
0,clf,d_out,84,7,8,0,70,179,0.148853,7.657316
0,clf,d_out,85,7,8,1,141,290,0.13195,7.352021
0,clf,d_out,86,7,9,0,75,73,0.297109,7.149529
0,clf,d_out,87,7,9,1,144,185,0.352947,5.542412
0,clf,d_out,88,8,9,0,184,78,0.228061,4.677732
0,clf,d_out,89,8,9,1,338,193,0.08681,3.157595
0,pre,d_h2,0,0,1,0,10,2,0.079845,1.447693
0,pre,d_h2,1,0,1,1,183,94,0.048378,1.332971
0,pre,d_h2,2,0,2,0,13,1,0.012405,1.070243
0,pre,d_h2,3,0,2,1,188,172,0.015348,1.077078
0,pre,d_h2,4,0,3,0,25,18,0.028462,1.160583
0,pre,d_h2,5,0,3,1,192,142,0.029007,1.15166
0,pre,d_h2,6,0,4,0,28,4,0.063823,1.297601
0,pre,d_h2,7,0,4,1,194,85,0.014664,1.132798
0,pre,d_h2,8,0,5,0,55,8,0.006492,1.067314
0,pre,d_h2,9,0,5,1,215,152,0.039225,1.170656
0,pre,d_h2,10,0,6,0,69,11,0.022509,1.123442
0,pre,d_h2,11,0,6,1,246,130,0.027593,1.124773
0,pre,d_h2,12,0,7,0,71,0,0.087225,1.505602
